week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-03-17,Wednesday,member,7154,10.45
2024-03-17,Thursday,casual,1679,11.82
2024-03-17,Thursday,member,6928,10.5
2024-03-17,Friday,casual,865,14.34
2024-03-17,Friday,member,3714,10.55
2024-03-17,Saturday,casual,1999,18.52
2024-03-17,Saturday,member,4603,11.94
2024-03-24,Sunday,casual,1911,18.23
2024-03-24,Sunday,member,4410,11.58
2024-03-24,Monday,casual,1958,17.35
2024-03-24,Monday,member,7062,10.97
2024-03-24,Tuesday,casual,1615,14.85
2024-03-24,Tuesday,member,6776,10.47
2024-03-24,Wednesday,casual,1827,15.02
2024-03-24,Wednesday,member,7075,10.39
2024-03-24,Thursday,casual,2751,17.17
2024-03-24,Thursday,member,8090,11.45
2024-03-24,Friday,casual,2893,19.96
2024-03-24,Friday,member,6626,10.98
2024-03-24,Saturday,casual,3459,22.08
2024-03-24,Saturday,member,5971,13.52
2024-03-31,Sunday,casual,1829,21.27
2024-03-31,Sunday,member,3607,11.8
2024-03-31,Monday,casual,1040,12.55
2024-03-31,Monday,member,4718,10.05
2024-03-31,Tuesday,casual,1146,11.75
2024-03-31,Tuesday,member,5737,10.06
2024-03-31,Wednesday,casual,625,14.38
2024-03-31,Wednesday,member,3694,9.83
2024-03-31,Thursday,casual,1317,11.05
2024-03-31,Thursday,member,6430,10.82
2024-03-31,Friday,casual,2530,16.56
2024-03-31,Friday,member,7092,11.11
2024-03-31,Saturday,casual,4674,22.05
2024-03-31,Saturday,member,7014,12.8
2024-04-07,Sunday,casual,1234,18.98
2024-04-07,Sunday,member,2910,10.86
2024-04-07,Monday,casual,4722,22.89
2024-04-07,Monday,member,10545,12.79
2024-04-07,Tuesday,casual,4024,21.1
2024-04-07,Tuesday,member,11264,12.58
2024-04-07,Wednesday,casual,3914,18.67
2024-04-07,Wednesday,member,10921,12.11
2024-04-07,Thursday,casual,2292,14.78
2024-04-07,Thursday,member,7809,11.63
