week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-06-30,Saturday,casual,15966,29.44
2024-06-30,Saturday,member,11936,16.58
2024-07-07,Sunday,casual,8061,25.89
2024-07-07,Sunday,member,8122,14.75
2024-07-07,Monday,casual,6741,22.28
2024-07-07,Monday,member,12140,13.27
2024-07-07,Tuesday,casual,4067,19.32
2024-07-07,Tuesday,member,9619,12.42
2024-07-07,Wednesday,casual,6948,21.05
2024-07-07,Wednesday,member,13060,13.66
2024-07-07,Thursday,casual,7943,21.03
2024-07-07,Thursday,member,14346,13.67
2024-07-07,Friday,casual,10395,23.72
2024-07-07,Friday,member,13890,14.28
2024-07-07,Saturday,casual,14923,25.84
2024-07-07,Saturday,member,13228,15.77
2024-07-14,Sunday,casual,8955,24.83
2024-07-14,Sunday,member,9046,14.75
2024-07-14,Monday,casual,6775,22.14
2024-07-14,Monday,member,12136,12.6
2024-07-14,Tuesday,casual,7479,21.86
2024-07-14,Tuesday,member,14162,13.19
2024-07-14,Wednesday,casual,8549,21.35
2024-07-14,Wednesday,member,15506,13.66
2024-07-14,Thursday,casual,8727,21.51
2024-07-14,Thursday,member,14585,13.69
2024-07-14,Friday,casual,11415,23.73
2024-07-14,Friday,member,14126,13.8
2024-07-14,Saturday,casual,16269,27.58
2024-07-14,Saturday,member,13339,15.6
2024-07-21,Sunday,casual,13023,27.7
2024-07-21,Sunday,member,11782,15.73
2024-07-21,Monday,casual,8283,23.4
2024-07-21,Monday,member,13102,13.55
2024-07-21,Tuesday,casual,7133,21.82
2024-07-21,Tuesday,member,13382,13.51
2024-07-21,Wednesday,casual,7855,21.38
2024-07-21,Wednesday,member,14792,13.61
2024-07-21,Thursday,casual,9109,22.46
2024-07-21,Thursday,member,15129,13.63
2024-07-21,Friday,casual,11173,25.25
2024-07-21,Friday,member,14145,14.47
2024-07-21,Saturday,casual,16115,27.65
2024-07-21,Saturday,member,13348,16.2
2024-07-28,Sunday,casual,8971,25.99
2024-07-28,Sunday,member,9471,14.67
2024-07-28,Monday,casual,5709,21.33
2024-07-28,Monday,member,10885,12.93
2024-07-28,Tuesday,casual,8110,22.86
2024-07-28,Tuesday,member,14809,13.78
2024-07-28,Wednesday,casual,10302,25.27
2024-07-28,Wednesday,member,15267,14.08
2024-07-28,Thursday,casual,8680,20.56
2024-07-28,Thursday,member,13536,13.22
2024-07-28,Friday,casual,11021,22.19
2024-07-28,Friday,member,13780,13.68
2024-07-28,Saturday,casual,16064,25.42
2024-07-28,Saturday,member,13329,15.63
2024-08-04,Sunday,casual,12952,26.09
2024-08-04,Sunday,member,11397,15.37
2024-08-04,Monday,casual,7056,21.75
2024-08-04,Monday,member,11320,13.18
2024-08-04,Tuesday,casual,5972,19.8
2024-08-04,Tuesday,member,12711,12.8
2024-08-04,Wednesday,casual,8758,22.68
2024-08-04,Wednesday,member,15110,13.59
2024-08-04,Thursday,casual,8400,22.86
2024-08-04,Thursday,member,14585,13.25
2024-08-04,Friday,casual,10914,23.64
2024-08-04,Friday,member,13626,13.63
2024-08-04,Saturday,casual,16384,26.87
2024-08-04,Saturday,member,13717,15.74
2024-08-11,Sunday,casual,14487,27.66
2024-08-11,Sunday,member,12043,16.49
2024-08-11,Monday,casual,7176,23.13
2024-08-11,Monday,member,12805,13.26
2024-08-11,Tuesday,casual,8192,21.94
2024-08-11,Tuesday,member,14653,13.41
2024-08-11,Wednesday,casual,8298,21.55
2024-08-11,Wednesday,member,15211,13.37
2024-08-11,Thursday,casual,4539,16.06
2024-08-11,Thursday,member,9757,12.45
2024-08-11,Friday,casual,8649,22.47
2024-08-11,Friday,member,12427,13.39
2024-08-11,Saturday,casual,9334,24.69
2024-08-11,Saturday,member,9844,14.65
2024-08-18,Sunday,casual,10044,24.82
2024-08-18,Sunday,member,10803,15.08
2024-08-18,Monday,casual,7164,21.5
2024-08-18,Monday,member,12379,13.37
2024-08-18,Tuesday,casual,7511,21.21
2024-08-18,Tuesday,member,13517,13.04
2024-08-18,Wednesday,casual,8112,19.62
2024-08-18,Wednesday,member,14020,13.39
2024-08-18,Thursday,casual,8111,20.16
2024-08-18,Thursday,member,13777,13.26
2024-08-18,Friday,casual,10079,22.63
2024-08-18,Friday,member,13604,13.59
2024-08-18,Saturday,casual,14504,25.37
2024-08-18,Saturday,member,13655,15.26
2024-08-25,Sunday,casual,11293,24.44
2024-08-25,Sunday,member,11746,15.66
2024-08-25,Monday,casual,6536,20.43
2024-08-25,Monday,member,12776,12.43
2024-08-25,Tuesday,casual,5662,17.59
2024-08-25,Tuesday,member,12253,12.42
2024-08-25,Wednesday,casual,7186,18.87
2024-08-25,Wednesday,member,14838,13.08
2024-08-25,Thursday,casual,8584,20.15
2024-08-25,Thursday,member,14985,13.1
2024-08-25,Friday,casual,9327,22.43
2024-08-25,Friday,member,12329,13.5
2024-08-25,Saturday,casual,16082,27.51
2024-08-25,Saturday,member,12122,15.75
2024-09-01,Sunday,casual,17750,28.15
2024-09-01,Sunday,member,11757,15.51
2024-09-01,Monday,casual,14887,27.2
2024-09-01,Monday,member,11245,15.55
2024-09-01,Tuesday,casual,9330,18.45
2024-09-01,Tuesday,member,15794,12.7
2024-09-01,Wednesday,casual,9225,17.01
2024-09-01,Wednesday,member,17223,12.43
2024-09-01,Thursday,casual,8949,16.27
2024-09-01,Thursday,member,15773,12.35
2024-09-01,Friday,casual,9817,17.45
2024-09-01,Friday,member,13962,12.53
2024-09-01,Saturday,casual,13020,21.62
2024-09-01,Saturday,member,12646,13.49
2024-09-08,Sunday,casual,12313,23.41
2024-09-08,Sunday,member,11595,14.24
2024-09-08,Monday,casual,8250,18.72
2024-09-08,Monday,member,15009,12.29
2024-09-08,Tuesday,casual,9390,17.75
2024-09-08,Tuesday,member,17290,12.51
2024-09-08,Wednesday,casual,10258,18.29
2024-09-08,Wednesday,member,17687,12.62
2024-09-08,Thursday,casual,10582,17.08
2024-09-08,Thursday,member,17404,12.59
2024-09-08,Friday,casual,11486,19.22
2024-09-08,Friday,member,15592,12.59
2024-09-08,Saturday,casual,16625,23.47
2024-09-08,Saturday,member,14487,14.38
2024-09-15,Sunday,casual,14385,22.76
2024-09-15,Sunday,member,12802,14.36
2024-09-15,Monday,casual,9057,18.77
2024-09-15,Monday,member,15113,12.43
2024-09-15,Tuesday,casual,9875,17.64
2024-09-15,Tuesday,member,17296,12.58
2024-09-15,Wednesday,casual,9831,16.72
2024-09-15,Wednesday,member,17556,12.55
2024-09-15,Thursday,casual,10653,17.55
2024-09-15,Thursday,member,17512,12.42
2024-09-15,Friday,casual,12545,19.55
2024-09-15,Friday,member,15621,12.78
2024-09-15,Saturday,casual,17056,22.43
2024-09-15,Saturday,member,14865,14.41
2024-09-22,Sunday,casual,4252,17.41
2024-09-22,Sunday,member,5202,12.68
2024-09-22,Monday,casual,6972,17.2
2024-09-22,Monday,member,13977,12.04
2024-09-22,Tuesday,casual,3748,11.61
2024-09-22,Tuesday,member,9684,11.21
2024-09-22,Wednesday,casual,9526,16.97
2024-09-22,Wednesday,member,17108,12.37
2024-09-22,Thursday,casual,10252,16.6
2024-09-22,Thursday,member,17358,12.35
